name,RR@10,nDCG@10,AP@100,alpha
quora: BM25 >> nomic-embed-text-v1,0.8574630158730133,0.8656093505740431,0.8316179683549974,0.5
dbpedia_entity: BM25 >> nomic-embed-text-v1,0.7438065476190475,0.443866606583556,0.3044735550688822,0.2
hotpotqa: BM25 >> nomic-embed-text-v1,0.8777338885137652,0.7307112632348367,0.6563898524645576,0.4
scifact: BM25 >> nomic-embed-text-v1,0.684929894179894,0.7218311252600745,0.6809082261536071,0.4
nfcorpus: BM25 >> nomic-embed-text-v1,0.5667624944714728,0.3582302863365281,0.163321445892022,0.2
fiqa: BM25 >> nomic-embed-text-v1,0.4607002008622375,0.3878437002075177,0.3245183025874752,0.3
fever: BM25 >> nomic-embed-text-v1,0.8165145085937142,0.8170629032558908,0.7785256821501603,0.1
quora: BM25 >> nomic-embed-text-v1,0.8574630158730133,0.8656093505740431,0.8316179683549974,0.5
