dataset,pipeline_name,mean_time_per_query (ms),exp_time (s),standard_dev_time (ms),nr_queries,timeit_details
nfcorpus,BM25 >> tct_colbert_msmarco,28.9164,9.34,474.0,323,"9.34 s +- 474 ms per loop (mean +- std. dev. of 7 runs, 1 loop each)
"
nfcorpus,BM25 >> tct_colbert_msmarco,29.2879,9.46,301.0,323,"9.46 s +- 301 ms per loop (mean +- std. dev. of 7 runs, 1 loop each)
"
nfcorpus,BM25 >> tct_colbert_msmarco,29.3189,9.47,344.0,323,"9.47 s +- 344 ms per loop (mean +- std. dev. of 7 runs, 1 loop each)
"
nfcorpus,BM25 >> tct_colbert_msmarco,30.8359,9.96,776.0,323,"9.96 s +- 776 ms per loop (mean +- std. dev. of 7 runs, 1 loop each)
"
