dataset,pipeline_name,mean_time_per_query (ms),exp_time (s),standard_dev_time (ms),nr_queries,timeit_details
fiqa,BM25 >> bge-base-en-v1.5,0.2438,0.158,16.5,648,"158 ms +- 16.5 ms per loop (mean +- std. dev. of 7 runs, 10 loops each)
"
nfcorpus,BM25 >> bge-base-en-v1.5,0.0191,0.00617,0.0156,323,"6.17 ms +- 15.6 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
"
scifact,BM25 >> bge-base-en-v1.5,0.032,0.0096,0.0864,300,"9.6 ms +- 86.4 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
"
fiqa,BM25 >> bge-small-en-v1.5,0.2207,0.14300000000000002,4.76,648,"143 ms +- 4.76 ms per loop (mean +- std. dev. of 7 runs, 1 loop each)
"
nfcorpus,BM25 >> bge-small-en-v1.5,0.0168,0.00543,0.232,323,"5.43 ms +- 232 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
"
scifact,BM25 >> bge-small-en-v1.5,0.0268,0.008039999999999999,0.597,300,"8.04 ms +- 597 us per loop (mean +- std. dev. of 7 runs, 100 loops each)
"
