Model,RR@10,nDCG@10
tct-colbert,,f
gte-base,,f
bge-base,f,f
arctic-m,f,f
e5-base,f,f
e5-base-pt,,
nomic,f,f
bge-small,bf,f
arctic-xs,f,f
e5-small,bf,f
